SubjectID,researchdate,BrandID,Brand,CategoryNameDelivery,daily_ots,score,threshold,reason
1233998501833434304,2025-07-29,204459,estel,Краски для волос,77361.39,0.9355454004150698,0.9353643479417053,daily_ots=77361.39; share=0.7298; deviation=2.919; robust_z=13.377
1297043019275485478,2025-07-23,369276,iqoo,Смартфоны,142407.89500000002,0.9547539353578098,0.9353643479417053,daily_ots=142407.895; share=0.8314; deviation=5.82; robust_z=45.483
1297043776825667136,2025-09-27,218309,sony,Малая техника,70512.696,0.9423350849505443,0.9353643479417053,daily_ots=70512.696; share=0.9151; deviation=2.745; robust_z=40.117
1297043776825667136,2025-09-28,218309,sony,Малая техника,78803.59999999999,0.9457990091511883,0.9353643479417053,daily_ots=78803.6; share=0.9645; deviation=2.894; robust_z=208.911
1306055321721055758,2025-09-08,213565,nivea,Товары для ухода за телом,21294.76,0.9371709936814601,0.9353643479417053,daily_ots=21294.76; share=0.7532; deviation=3.013; robust_z=17.221
1306055321721055829,2025-06-30,197627,adidas,Одежда,41617.116,0.9436276975194094,0.9353643479417053,daily_ots=41617.116; share=0.785; deviation=3.14; robust_z=82.108
1306055918923481346,2025-09-23,197548,asics,Обувь,54272.11200000001,0.9393145569217785,0.9353643479417053,daily_ots=54272.112; share=0.7418; deviation=2.967; robust_z=16.129
1306055918923481346,2025-09-29,197548,asics,Обувь,52865.79,0.9471401814051091,0.9353643479417053,daily_ots=52865.79; share=0.6742; deviation=4.72; robust_z=21.268
1306055918923481346,2025-10-29,369276,iqoo,Смартфоны,71813.9,0.9451073226848882,0.9353643479417053,daily_ots=71813.9; share=0.7005; deviation=4.203; robust_z=14.932
1306055918923481346,2025-10-30,369276,iqoo,Смартфоны,204047.008,0.9569434568714845,0.9353643479417053,daily_ots=204047.008; share=0.8118; deviation=8.118; robust_z=127.984
1306110973670995840,2025-09-07,238974,tecno spark,Смартфоны,71653.824,0.9493317262389945,0.9353643479417053,daily_ots=71653.824; share=0.8522; deviation=3.409; robust_z=43.428
1306806058556077568,2025-06-01,207447,honor,Смартфоны,285217.91000000003,0.9532159229519663,0.9353643479417053,daily_ots=285217.91; share=0.6797; deviation=13.594; robust_z=157.751
1306806058556077568,2025-06-01,207543,huawei,Смартфоны,57043.582,0.9407337715266818,0.9353643479417053,daily_ots=57043.582; share=0.4728; deviation=7.093; robust_z=35.714
1306806058556077568,2025-06-01,215234,poco,Смартфоны,85565.373,0.9403588791962216,0.9353643479417053,daily_ots=85565.373; share=0.4931; deviation=6.41; robust_z=22.568
1306806058556077568,2025-06-03,207543,huawei,Смартфоны,56454.64,0.9354618661949441,0.9353643479417053,daily_ots=56454.64; share=0.4676; deviation=4.676; robust_z=19.451
1369101347001710020,2025-07-11,198504,apple watch,Смарт-часы и браслеты,42622.156,0.9413659145696398,0.9353643479417053,daily_ots=42622.156; share=0.8364; deviation=3.346; robust_z=82.743
1369101741337282579,2025-06-09,217082,samsung,Смартфоны,27100.074,0.935463311423666,0.9353643479417053,daily_ots=27100.074; share=0.8404; deviation=3.362; robust_z=26.511
1369101741337283412,2025-09-23,213658,nordman,Детские одежда и обувь,23521.551,0.9445538000844014,0.9353643479417053,daily_ots=23521.551; share=0.7671; deviation=3.068; robust_z=30.573
1378110665222670401,2025-10-11,281079,samsung galaxy,Смарт-часы и браслеты,34721.912,0.9476795407641213,0.9353643479417053,daily_ots=34721.912; share=0.7279; deviation=3.64; robust_z=66.105
1378110665222670401,2025-10-31,281079,samsung galaxy,Аудиотехника,17736.765,0.9426417624853309,0.9353643479417053,daily_ots=17736.765; share=0.8798; deviation=2.639; robust_z=1500.578
1513216533926154380,2025-06-10,219306,tcl (техника),Крупная техника,25082.984,0.950032662169115,0.9353643479417053,daily_ots=25082.984; share=0.7825; deviation=3.913; robust_z=29.347
1522228125953156999,2025-10-17,216182,redmond (бытовая техника),Малая техника,15332.625,0.9420590462646619,0.9353643479417053,daily_ots=15332.625; share=0.6597; deviation=3.299; robust_z=42.799
1522229159996371777,2025-08-31,213360,new balance,Обувь,30272.362,0.9489793794765959,0.9353643479417053,daily_ots=30272.362; share=0.8793; deviation=3.517; robust_z=40.973
1585271561336584729,2025-06-17,212017,midea,Крупная техника,41286.216,0.9408054548712879,0.9353643479417053,daily_ots=41286.216; share=0.9196; deviation=2.759; robust_z=20.186
1585271561336585963,2025-10-16,201263,caprice,Обувь,59405.81,0.9412500072261437,0.9353643479417053,daily_ots=59405.81; share=0.9408; deviation=2.822; robust_z=25.265
1585271561336611199,2025-06-04,216575,roborock,Малая техника,42384.638999999996,0.9396365538810172,0.9353643479417053,daily_ots=42384.639; share=0.8834; deviation=2.65; robust_z=19.489
1585271561336611199,2025-06-06,203587,dreame,Малая техника,42697.686,0.940788690218114,0.9353643479417053,daily_ots=42697.686; share=0.8836; deviation=2.651; robust_z=28.408
1585271561336611199,2025-06-26,198504,apple watch,Смарт-часы и браслеты,50923.26299999999,0.9433716029898891,0.9353643479417053,daily_ots=50923.263; share=0.795; deviation=3.18; robust_z=16.769
1585271561336614331,2025-10-20,216798,royal canin,Корм для кошек,42191.318999999996,0.9440875692987172,0.9353643479417053,daily_ots=42191.319; share=0.6387; deviation=4.471; robust_z=16.982
1585271561336614914,2025-09-08,207286,hisense,Крупная техника,37333.2,0.9436788586161646,0.9353643479417053,daily_ots=37333.2; share=0.9274; deviation=2.782; robust_z=31.012
1585271561336615171,2025-10-24,214365,ostin,Одежда,27628.085,0.9395330755045295,0.9353643479417053,daily_ots=27628.085; share=0.7201; deviation=2.881; robust_z=17.641
1585271561336618120,2025-08-05,242139,яндекс,Аудиотехника,60852.47,0.9362301497835048,0.9353643479417053,daily_ots=60852.47; share=0.4219; deviation=5.484; robust_z=33.903
1585271561336618707,2025-10-28,215274,polaris (бытовая техника),Малая техника,56646.615000000005,0.9432077140528261,0.9353643479417053,daily_ots=56646.615; share=0.7001; deviation=3.501; robust_z=39.305
1585271561336619618,2025-06-30,207543,huawei,Смартфоны,43798.896,0.9405802882364164,0.9353643479417053,daily_ots=43798.896; share=0.6012; deviation=4.809; robust_z=17.795
1585271561336624659,2025-06-14,217082,samsung,Смартфоны,118156.27600000001,0.9428053623766499,0.9353643479417053,daily_ots=118156.276; share=0.7529; deviation=6.023; robust_z=48.257
1585271561336628314,2025-06-16,206804,haier,Крупная техника,23162.662,0.9405450246556021,0.9353643479417053,daily_ots=23162.662; share=0.7037; deviation=4.222; robust_z=22.778
1585271561336632628,2025-08-18,214553,panasonic,Малая техника,31786.991,0.9482553198869254,0.9353643479417053,daily_ots=31786.991; share=0.8171; deviation=3.268; robust_z=66.104
1585271561336650970,2025-10-08,201481,celimax,Средства для умывания и ухода за лицом,30449.538,0.9379658694785037,0.9353643479417053,daily_ots=30449.538; share=0.832; deviation=2.496; robust_z=51.27
1585271561336660303,2025-06-18,214199,oppo (электроника),Смартфоны,45107.164,0.9380924715145419,0.9353643479417053,daily_ots=45107.164; share=0.8465; deviation=2.54; robust_z=311.375
1585271561336660303,2025-06-18,221229,vivo (электроника),Смартфоны,112767.90999999999,0.9465909944907882,0.9353643479417053,daily_ots=112767.91; share=0.5675; deviation=6.81; robust_z=51.554
1585271561336660770,2025-10-07,199911,belwest,Обувь,21163.984,0.9406242231895621,0.9353643479417053,daily_ots=21163.984; share=0.9086; deviation=2.726; robust_z=42.913
1585271561336662295,2025-10-01,206252,gloria jeans,Одежда,17641.86,0.9416477341704099,0.9353643479417053,daily_ots=17641.86; share=0.8513; deviation=2.554; robust_z=79.046
1585271561336684477,2025-07-29,207543,huawei,Смарт-часы и браслеты,38107.97,0.9355780625841846,0.9353643479417053,daily_ots=38107.97; share=0.6547; deviation=3.928; robust_z=19.16
1585271561336690460,2025-09-15,214553,panasonic,Малая техника,12658.348,0.9353936513992704,0.9353643479417053,daily_ots=12658.348; share=0.8165; deviation=2.449; robust_z=17.804
1585271561336690460,2025-10-26,214553,panasonic,Малая техника,29910.012000000002,0.9403539654185671,0.9353643479417053,daily_ots=29910.012; share=0.7351; deviation=2.94; robust_z=17.784
1585271561336694823,2025-09-25,311362,tecno pova,Смартфоны,18441.228,0.9377771226074239,0.9353643479417053,daily_ots=18441.228; share=0.4403; deviation=5.723; robust_z=28.56
1585271561336695864,2025-06-01,215274,polaris (бытовая техника),Малая техника,23751.957000000002,0.9395362550077175,0.9353643479417053,daily_ots=23751.957; share=0.5442; deviation=4.353; robust_z=33.268
1585271561336710324,2025-08-21,221942,xiaomi,Смарт-часы и браслеты,39952.916,0.9455134319557414,0.9353643479417053,daily_ots=39952.916; share=0.695; deviation=4.17; robust_z=30.165
1585271561336714584,2025-07-24,242139,яндекс,Аудиотехника,47728.696,0.9394012706450924,0.9353643479417053,daily_ots=47728.696; share=0.45; deviation=6.751; robust_z=32.916
1585271561336717022,2025-09-25,206804,haier,Крупная техника,131955.626,0.9504535127729314,0.9353643479417053,daily_ots=131955.626; share=0.7817; deviation=4.69; robust_z=29.228
1585271561336724594,2025-06-10,206041,geox,Обувь,67734.478,0.9447960204181914,0.9353643479417053,daily_ots=67734.478; share=0.9116; deviation=2.735; robust_z=73.228
1585271561336724594,2025-07-08,210322,lg,Крупная техника,48023.142,0.9447529526022789,0.9353643479417053,daily_ots=48023.142; share=0.5609; deviation=5.048; robust_z=45.663
1585271561336762631,2025-06-20,215274,polaris (бытовая техника),Малая техника,34544.688,0.9387671042819237,0.9353643479417053,daily_ots=34544.688; share=0.6964; deviation=2.786; robust_z=19.841
1585271561336777542,2025-10-12,210440,lime (одежда),Одежда,19283.838,0.9403181237462641,0.9353643479417053,daily_ots=19283.838; share=0.8397; deviation=2.519; robust_z=53.865
1585271561336784959,2025-08-26,242139,яндекс,Аудиотехника,54238.21799999999,0.9389387974540852,0.9353643479417053,daily_ots=54238.218; share=0.4867; deviation=5.84; robust_z=25.761
1585271561336804332,2025-10-01,200656,bosch,Крупная техника,47983.418000000005,0.9391191619985779,0.9353643479417053,daily_ots=47983.418; share=0.7928; deviation=3.171; robust_z=9.999
1585271561336804690,2025-08-08,206519,grass,Универсальные чистящие средства,18624.774,0.93769040888411,0.9353643479417053,daily_ots=18624.774; share=0.5553; deviation=3.332; robust_z=30.678
1585271561336806379,2025-10-01,221942,xiaomi,Крупная техника,21429.408,0.9360442933698688,0.9353643479417053,daily_ots=21429.408; share=0.732; deviation=2.928; robust_z=10.08
1585271561336806379,2025-10-26,217082,samsung,Крупная техника,27509.958000000002,0.9372764953781586,0.9353643479417053,daily_ots=27509.958; share=0.51; deviation=4.08; robust_z=18.194
1585271561336807123,2025-09-28,242139,яндекс,Аудиотехника,72806.44,0.9482258372209986,0.9353643479417053,daily_ots=72806.44; share=0.5859; deviation=7.031; robust_z=70.639
1585271561336808997,2025-07-05,204933,felix (корм),Корм для кошек,24698.394,0.935474873253441,0.9353643479417053,daily_ots=24698.394; share=0.5751; deviation=4.026; robust_z=15.319
1585271561336810756,2025-10-22,216182,redmond (бытовая техника),Малая техника,8171.1539999999995,0.9363235115589393,0.9353643479417053,daily_ots=8171.154; share=0.711; deviation=2.844; robust_z=18.607
1585271561336820883,2025-06-12,216194,reebok,Обувь,94998.933,0.9400342808252834,0.9353643479417053,daily_ots=94998.933; share=0.6191; deviation=3.715; robust_z=16.278
1585271561336820883,2025-09-03,206402,google pixel,Смартфоны,32547.54,0.938618823815057,0.9353643479417053,daily_ots=32547.54; share=0.6021; deviation=3.613; robust_z=15.919
1585271561336824147,2025-09-15,221229,vivo (электроника),Смартфоны,40382.796,0.9372741830122036,0.9353643479417053,daily_ots=40382.796; share=0.5315; deviation=3.721; robust_z=21.577
1585271561336824147,2025-10-03,221229,vivo (электроника),Смартфоны,55339.632,0.9486461097333264,0.9353643479417053,daily_ots=55339.632; share=0.7019; deviation=4.913; robust_z=21.518
1585271561336838474,2025-07-08,216394,rexona,Дезодоранты,16849.38,0.9422272708878907,0.9353643479417053,daily_ots=16849.38; share=0.7672; deviation=3.069; robust_z=16.177
1585271561336866220,2025-07-27,210322,lg,Крупная техника,35079.024,0.9448613447564213,0.9353643479417053,daily_ots=35079.024; share=0.5857; deviation=4.685; robust_z=40.541
1585271561336872859,2025-06-01,218309,sony,Малая техника,15401.38,0.9467427435065874,0.9353643479417053,daily_ots=15401.38; share=0.7922; deviation=3.169; robust_z=30.25
1585271561336877696,2025-08-13,218309,sony,Аудиотехника,38328.003000000004,0.9362532734430551,0.9353643479417053,daily_ots=38328.003; share=0.642; deviation=3.21; robust_z=18.224
